Thời gian cào:    Fri Nov 07 2025 14:09:34 GMT+0700 (Indochina Time)
Post URL:            https://www.tiktok.com/@hoanggleee/video/7386865350735875344
Người đăng:          Hoangglee
Tag người đăng:      @hoanggleee
URL người đăng:      https://www.tiktok.com/@hoanggleee
Thời gian đăng:      2-7-2024
Số lượt tym:         26.5K
Số lượt comment:     317
Số lượt lưu:         499
Số lượt share:       N/A
Mô tả của bài đăng:  "Học phí ở NEU đắt không? #fyp #xuhuong #learnontiktok #hoccungtiktok #daihoc #neu. ẩn bớt"
Số bình luận cấp 1:  199
Số bình luận cấp 2:  23
Tổng số bình luận thực tế đã load:  222
Số bình luận TikTok hiển thị:       317
Chênh lệch số bình luận:            95
STT,Tên,Tag tên,URL,Comment,Time,Likes,Level Comment,Replied To Tag Name,Number of Replies
105,"Lý Công Thành","Lý Công Thành",https://www.tiktok.com/@Lý Công Thành,"Dễ thương quá c iu ơi",10-9-2024,0,No,---,0
106,"phan phúc echu","phan phúc echu",https://www.tiktok.com/@phan phúc echu,"bằng 2 kì",10-8-2024,0,No,---,0
107,"Paroxetine","Paroxetine",https://www.tiktok.com/@Paroxetine,"Trường t 415k 1 tín mà môn 2 tín có thể hơn 2 tr😁",29-7-2024,0,No,---,0
108,"narr","narr",https://www.tiktok.com/@narr,"trường thăng long tín chỉ xong còn hệ số",24-7-2024,1,No,---,0
109,"Ngô Dạ Khoa","Ngô Dạ Khoa",https://www.tiktok.com/@Ngô Dạ Khoa,"Ngọt như socola luông",19-7-2024,0,No,---,0
110,"Lê Song Dan","Lê Song Dan",https://www.tiktok.com/@Lê Song Dan,"Ăn gì xinh thế",13-9-2024,0,No,---,0
111,"linh","linh",https://www.tiktok.com/@linh,"xin vía đậu NEU a ơiii 🍀🍀",2-7-2024,1,No,---,0
112,"mỏ hỗn cutie 🥰","mỏ hỗn cutie 🥰",https://www.tiktok.com/@mỏ hỗn cutie 🥰,"anh mới tốt nghiệp ạ?",26-8-2024,0,No,---,0
113,"Bùi Hoài Sơn","Bùi Hoài Sơn",https://www.tiktok.com/@Bùi Hoài Sơn,"nhận quà chị yeeuu ơi",27-9-2024,0,No,---,0
114,"Đặng Thanh Hải","Đặng Thanh Hải",https://www.tiktok.com/@Đặng Thanh Hải,"Mãi yêu - thiên thần của e",13-9-2024,0,No,---,0
115,"Huỳnh Phương Hùng","Huỳnh Phương Hùng",https://www.tiktok.com/@Huỳnh Phương Hùng,"Xinh iuuuu",6-9-2024,0,No,---,0
116,"Lý Vàng Ca","Lý Vàng Ca",https://www.tiktok.com/@Lý Vàng Ca,"Đẹp quá ng eo ơi 😍",4-10-2024,0,No,---,0
117,"Kiều Thanh Nguyên","Kiều Thanh Nguyên",https://www.tiktok.com/@Kiều Thanh Nguyên,"Xuất sắc e gái ơi",16-9-2024,0,No,---,0
118,"Lê Ngọc Anh","Lê Ngọc Anh",https://www.tiktok.com/@Lê Ngọc Anh,"Mờ ê mê thôi",26-9-2024,0,No,---,0
119,"Mai Thành Trung","Mai Thành Trung",https://www.tiktok.com/@Mai Thành Trung,"học HUP thì 24,5tr/năm trong 5 năm",6-8-2024,0,No,---,0
120,"Đức Phu Nhân","Đức Phu Nhân",https://www.tiktok.com/@Đức Phu Nhân,"Cũng rẻ nhỉ 😁",10-8-2024,0,No,---,0
121,"ăn cứt đá bô","ăn cứt đá bô",https://www.tiktok.com/@ăn cứt đá bô,"ueb 1 kì mềm 20tr:)) mỗi tín cắn nhẹ 1 củ",14-7-2024,0,No,---,0
122,"Huỳnh Bảo Hà","Huỳnh Bảo Hà",https://www.tiktok.com/@Huỳnh Bảo Hà,"Trên cả tuyệt vời luôn c2 😍",13-8-2024,0,No,---,0
123,"Sinh học Y","Sinh học Y",https://www.tiktok.com/@Sinh học Y,"gấp đôi học phí MỘT KÌ yhn 😇🙏",28-8-2024,0,No,---,0
124,"lúc thẳng lúc gei","lúc thẳng lúc gei",https://www.tiktok.com/@lúc thẳng lúc gei,"neu với ftu học phí bên nào ổn áp hơn ạ?",29-8-2024,0,No,---,0
125,"Nguyễn Song Cát","Nguyễn Song Cát",https://www.tiktok.com/@Nguyễn Song Cát,"Cj yêu xynh quá",13-9-2024,0,No,---,0
126,"Vũ An Dan","Vũ An Dan",https://www.tiktok.com/@Vũ An Dan,"Nhìn cưng quá nàng iu 😍",29-10-2024,0,No,---,0
127,"Secoate Le Towtark","Secoate Le Towtark",https://www.tiktok.com/@Secoate Le Towtark,"mình học CNTP CTU 660K 1 chỉ, trường làng cỡ đó trường thành phố cỡ nào?",8-9-2024,0,No,---,0
128,"Lý Gia Khue","Lý Gia Khue",https://www.tiktok.com/@Lý Gia Khue,"Em tui xs luôn chèn",8-10-2024,0,No,---,0
129,"Đặng Thien Nhã","Đặng Thien Nhã",https://www.tiktok.com/@Đặng Thien Nhã,"Áo đẹp thía",18-9-2024,0,No,---,0
130,"Trần Thạch Vinh","Trần Thạch Vinh",https://www.tiktok.com/@Trần Thạch Vinh,"Xinh mê",13-8-2024,1,No,---,0
131,"Phạm Hạ Thảo","Phạm Hạ Thảo",https://www.tiktok.com/@Phạm Hạ Thảo,"Xinh lắm bé ơi",8-10-2024,0,No,---,0
132,"Phạm Yen Dung","Phạm Yen Dung",https://www.tiktok.com/@Phạm Yen Dung,"cô gái hot quá trời đi à",29-10-2024,0,No,---,0
133,"Đặng Quỳnh Du","Đặng Quỳnh Du",https://www.tiktok.com/@Đặng Quỳnh Du,"Thiên thần của em mãi mãi là chị ❤",30-7-2024,0,No,---,0
134,"Đỗ Thục Thế","Đỗ Thục Thế",https://www.tiktok.com/@Đỗ Thục Thế,"So cute❤️😍",23-10-2024,0,No,---,0
135,"Bùi Ngọc Cát","Bùi Ngọc Cát",https://www.tiktok.com/@Bùi Ngọc Cát,"Xuất sắc e gái ơi",13-9-2024,0,No,---,0
